Date,Open,High,Low,Close,Adj Close,Volume
04-01-2016,147500,148000,143500,144000,110097.8672,445332
05-01-2016,143000,145000,142000,143500,109715.6016,530496
06-01-2016,144000,145000,139000,140000,107039.5781,769406
07-01-2016,138500,140000,137500,137500,105128.1641,586187
08-01-2016,134500,138000,133500,136500,104363.6094,888701
11-01-2016,134500,140500,134000,140000,107039.5781,542749
12-01-2016,140500,141500,139000,139500,106657.2969,386506
13-01-2016,140500,141500,139500,140500,107421.8906,338336
14-01-2016,138500,143500,136500,141000,107804.125,664829
15-01-2016,141000,142000,136500,138500,105892.7188,568653
18-01-2016,137500,140000,135500,139000,106275.0078,400716
19-01-2016,138000,140000,136000,140000,107039.5781,332956
20-01-2016,139500,140000,135500,136500,104363.6094,544330
21-01-2016,136000,138000,135500,137000,104745.8672,455723
22-01-2016,138000,140500,136500,139000,106275.0078,551671
25-01-2016,140000,140500,136000,137500,105128.1641,543064
26-01-2016,136500,137000,134500,136000,103981.3203,564584
27-01-2016,135500,137000,134500,137000,104745.8672,702981
28-01-2016,135500,136500,134500,135000,103216.75,480730
29-01-2016,135000,136000,131000,133000,101687.5859,990382
01-02-2016,132000,132500,130500,132500,101305.3359,689972
02-02-2016,131500,132500,129000,129500,99011.61719,594441
03-02-2016,127500,129500,126500,129000,98629.34375,649021
04-02-2016,130000,132500,129500,132500,101305.3359,600523
05-02-2016,132000,133500,131000,133500,102069.8984,513150
11-02-2016,130500,132500,130500,131000,100158.4688,688873
12-02-2016,131500,137500,131000,137000,104745.8672,1264899
15-02-2016,137500,141500,135000,139500,106657.2969,879160
16-02-2016,139500,142500,137500,141000,107804.125,524822
17-02-2016,142000,147500,141000,147000,112391.5625,772996
18-02-2016,147500,149000,145500,147000,112391.5625,468798
19-02-2016,147000,151000,147000,149000,113920.7266,477553
22-02-2016,147500,148500,146000,147500,112773.8594,273335
23-02-2016,148000,149000,146500,149000,113920.7266,250401
24-02-2016,147500,150000,146500,149000,113920.7266,191286
25-02-2016,149500,153000,145500,147000,112391.5625,490265
26-02-2016,148000,148000,144500,147000,112391.5625,351408
29-02-2016,145500,149000,144500,147500,112773.8594,570117
02-03-2016,150000,150000,148000,150000,114685.2969,539821
03-03-2016,151500,151500,146000,147500,112773.8594,627810
04-03-2016,146000,147500,143500,147500,112773.8594,696287
07-03-2016,147500,147500,145500,146500,112009.2891,317439
08-03-2016,145000,149500,145000,148000,113156.1328,366489
09-03-2016,147000,149500,146500,149500,114302.9922,452965
10-03-2016,149000,150000,148000,148000,113156.1328,690061
11-03-2016,147500,150000,147500,149000,113920.7266,408175
14-03-2016,150000,150500,147000,148500,113538.4297,362075
15-03-2016,148500,149000,146000,147000,112391.5625,309077
16-03-2016,147000,148000,145500,146500,112009.2891,206136
17-03-2016,148000,148500,146000,146500,112009.2891,492380
18-03-2016,148000,150500,147500,150500,115067.5547,769047
21-03-2016,151000,155000,149500,154500,118125.8281,803657
22-03-2016,155500,159000,155000,159000,121566.3906,872121
23-03-2016,159500,159500,157000,158000,120801.8125,454762
24-03-2016,156500,157000,154500,155500,118890.4141,288522
25-03-2016,154500,155500,152000,153000,116978.9609,279961
28-03-2016,153000,156500,152000,154000,117743.5469,186865
29-03-2016,155000,156000,153500,155000,118508.1172,229075
30-03-2016,156000,159000,155000,155500,118890.4141,373060
31-03-2016,156000,156000,151500,152500,116596.6719,575626
01-04-2016,152500,152500,147500,149500,114302.9922,604435
04-04-2016,148500,149500,143500,144000,110097.8672,767267
05-04-2016,144000,145000,143500,144500,110480.1563,292339
06-04-2016,144000,146000,144000,144000,110097.8672,379789
07-04-2016,143500,146500,143500,146500,112009.2891,366852
08-04-2016,146000,146500,144000,146000,111626.9922,339546
11-04-2016,147500,147500,145000,146000,111626.9922,197423
12-04-2016,146000,150000,145000,148500,113538.4297,361212
14-04-2016,150000,152000,149500,152000,116214.4063,496852
15-04-2016,150500,152000,149000,151500,115832.125,297722
18-04-2016,150000,155000,150000,154000,117743.5469,406339
19-04-2016,155000,155000,152000,153000,116978.9609,310407
20-04-2016,153500,155000,151000,151500,115832.125,270230
21-04-2016,152000,154500,152000,154000,117743.5469,297646
22-04-2016,152000,153500,150500,151000,115449.8516,318972
25-04-2016,151000,152000,149000,149500,114302.9922,273343
26-04-2016,149000,154000,149000,153500,117361.25,365930
27-04-2016,152000,153000,148500,149000,113920.7266,374037
28-04-2016,148500,150500,147000,148000,113156.1328,466520
29-04-2016,146500,147500,142000,143500,109715.6016,739237
02-05-2016,142000,144000,141500,142500,108951,242036
03-05-2016,143000,144000,142000,142500,108951,359029
04-05-2016,141500,142000,138500,139000,106275.0078,807340
09-05-2016,138500,139000,135500,135500,103599.0156,482711
10-05-2016,136500,140500,136500,139500,106657.2969,346710
11-05-2016,140500,142000,138500,139000,106275.0078,284228
12-05-2016,138000,138500,136500,136500,104363.6094,421047
13-05-2016,136000,137500,135000,135000,103216.75,529746
16-05-2016,136500,137500,135000,135500,103599.0156,397771
17-05-2016,135500,136500,134500,134500,102834.4766,314839
18-05-2016,135000,135500,132000,133000,101687.5859,630692
19-05-2016,132500,136000,132500,134500,102834.4766,389055
20-05-2016,134000,135000,131500,132000,100923.0391,462176
23-05-2016,133000,134500,133000,133000,101687.5859,310458
24-05-2016,133000,135000,132000,133500,102069.8984,355717
